#Image_Name Image_Time_UTC Pointing
h4946_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4946_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h4946_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5163_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5163_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5163_0007_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5277_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5277_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5277_0007_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5305_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5305_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5305_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5305_0006_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5343_0002_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5343_0003_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5343_0004_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5343_0005_sr2.FIT 2022-08-21T21:31:54.226 SPC_Derived
h5362_0002_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5362_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5362_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5362_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5381_0002_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5381_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5381_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5381_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5409_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5428_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5428_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5428_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5447_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5447_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5447_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5447_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5504_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5504_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5504_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5552_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5552_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5552_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5552_0007_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5699_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5699_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5699_0007_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5766_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5766_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5766_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5850_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5850_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5850_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5870_0002_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5870_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5870_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5870_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5870_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5889_0002_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5889_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5889_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5889_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5908_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5908_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5908_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5984_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5984_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h5984_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6042_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6042_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6042_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6128_0002_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6128_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6128_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6128_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6128_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6128_0007_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6217_0002_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6217_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6217_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6217_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6217_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6217_0007_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6551_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6551_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6551_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6637_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6637_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6637_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6637_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6745_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6745_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6745_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6745_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6748_0003_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6748_0004_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6748_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6748_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6757_0005_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6757_0006_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6757_0007_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6896_0025_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6896_0026_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6896_0027_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6896_0028_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6896_0029_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6896_0030_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6896_0031_sr2.FIT 2022-08-21T21:31:54.227 SPC_Derived
h6896_0032_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0033_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0034_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0035_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0036_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0037_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0038_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0039_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0040_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0041_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0042_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0043_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0044_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0045_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0046_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0047_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0048_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0049_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6896_0050_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6906_0005_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6906_0006_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6916_0003_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6916_0004_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6916_0005_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6916_0006_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6916_0007_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6926_0005_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6926_0006_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6926_0007_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6987_0005_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h6987_0006_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h7017_0005_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h7017_0006_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h7038_0004_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h7038_0005_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
h7038_0006_sr2.FIT 2022-08-21T21:31:54.228 SPC_Derived
